gene,arm
TNFAIP8L1,19p
TNFSF14,19p
TNFSF9,19p
TNNI3,19q
TNNT1,19q
TNPO2,19p
TOMM40,19q
TPGS1,19p
TPM3P9,19q
TPM4,19p
TPRX1,19q
TRAPPC2B,19q
TRAPPC5,19p
TRAPPC6A,19q
TRIM28,19q
TRIP10,19p
TRIR,19p
TRMT1,19p
TRPM4,19q
TSEN34,19q
TSHZ3,19q
TSKS,19q
TSPAN16,19p
TSSK6,19p
TTC9B,19q
TTYH1,19q
TUBB4A,19p
TULP2,19q
TYK2,19p
TYROBP,19q
U2AF1L4,19q
U2AF2,19q
UBA2,19q
UBA52,19p
UBE2CP5,19q
UBE2M,19q
UBE2S,19q
UBL5,19p
UBXN6,19p
UCA1,19p
UHRF1,19p
UNC13A,19p
UPF1,19p
UPK1A,19q
UPK1A-AS1,19q
UQCR11,19p
UQCRFS1,19q
URI1,19q
USE1,19p
USF2,19q
USHBP1,19p
USP29,19q
VASP,19q
VAV1,19p
VMAC,19p
VN1R1,19q
VN1R2,19q
VN1R4,19q
VRK3,19q
VSIG10L,19q
VSTM1,19q
VSTM2B,19q
WASH5P,19p
WDR18,19p
WDR62,19q
WDR83,19p
WDR83OS,19p
WDR87,19q
WDR87BP,19q
WDR88,19q
WIZ,19p
WTIP,19q
XAB2,19p
XRCC1,19q
YIF1B,19q
YIPF2,19p
YJEFN3,19p
YJU2,19p
ZBTB32,19q
ZBTB45,19q
ZBTB7A,19p
ZC3H4,19q
ZFP14,19q
ZFP28,19q
ZFP30,19q
ZFP36,19q
ZFP82,19q
ZFR2,19p
ZGLP1,19p
ZIK1,19q
ZIM2,19q
ZIM2-AS1,19q
ZIM3,19q
ZNF100,19p
ZNF101,19p
ZNF112,19q
ZNF114,19q
ZNF121,19p
ZNF132,19q
ZNF134,19q
ZNF135,19q
ZNF136,19p
ZNF137P,19q
ZNF14,19p
ZNF146,19q
ZNF154,19q
ZNF155,19q
ZNF160,19q
ZNF17,19q
ZNF175,19q
ZNF177,19p
ZNF180,19q
ZNF181,19q
ZNF20,19p
ZNF208,19p
ZNF211,19q
ZNF221,19q
ZNF222,19q
ZNF223,19q
ZNF224,19q
ZNF225,19q
ZNF226,19q
ZNF227,19q
ZNF229,19q
ZNF230,19q
ZNF233,19q
ZNF234,19q
ZNF235,19q
ZNF253,19p
ZNF254,19p
ZNF256,19q
ZNF257,19p
ZNF260,19q
ZNF264,19q
ZNF266,19p
ZNF274,19q
ZNF28,19q
ZNF283,19q
ZNF284,19q
ZNF285,19q
ZNF296,19q
ZNF30,19q
ZNF30-AS1,19q
ZNF302,19q
ZNF304,19q
ZNF317,19p
ZNF320,19q
ZNF321P,19q
ZNF324,19q
ZNF324B,19q
ZNF329,19q
ZNF331,19q
ZNF333,19p
ZNF345,19q
ZNF347,19q
ZNF350,19q
ZNF350-AS1,19q
ZNF358,19p
ZNF382,19q
ZNF383,19q
ZNF404,19q
ZNF414,19p
ZNF415,19q
ZNF416,19q
ZNF417,19q
ZNF418,19q
ZNF419,19q
ZNF420,19q
ZNF426,19p
ZNF426-DT,19p
ZNF428,19q
ZNF429,19p
ZNF43,19p
ZNF430,19p
ZNF431,19p
ZNF432,19q
ZNF433,19p
ZNF433-AS1,19p
ZNF439,19p
ZNF44,19p
ZNF440,19p
ZNF441,19p
ZNF442,19p
ZNF443,19p
ZNF444,19q
ZNF446,19q
ZNF45,19q
ZNF460,19q
ZNF460-AS1,19q
ZNF461,19q
ZNF468,19q
ZNF470,19q
ZNF471,19q
ZNF473,19q
ZNF480,19q
ZNF486,19p
ZNF490,19p
ZNF491,19p
ZNF492,19p
ZNF493,19p
ZNF497,19q
ZNF506,19p
ZNF507,19q
ZNF524,19q
ZNF525,19q
ZNF526,19q
ZNF527,19q
ZNF528,19q
ZNF528-AS1,19q
ZNF529,19q
ZNF529-AS1,19q
ZNF530,19q
ZNF534,19q
ZNF536,19q
ZNF540,19q
ZNF541,19q
ZNF542P,19q
ZNF543,19q
ZNF544,19q
ZNF546,19q
ZNF547,19q
ZNF548,19q
ZNF549,19q
ZNF550,19q
ZNF551,19q
ZNF552,19q
ZNF554,19p
ZNF555,19p
ZNF556,19p
ZNF557,19p
ZNF558,19p
ZNF559,19p
ZNF559-ZNF177,19p
ZNF56,19p
ZNF560,19p
ZNF561,19p
ZNF561-AS1,19p
ZNF562,19p
ZNF563,19p
ZNF564,19p
ZNF565,19q
ZNF566,19q
ZNF567,19q
ZNF568,19q
ZNF569,19q
ZNF57,19p
ZNF570,19q
ZNF571,19q
ZNF571-AS1,19q
ZNF573,19q
ZNF574,19q
ZNF575,19q
ZNF576,19q
ZNF577,19q
ZNF578,19q
ZNF579,19q
ZNF580,19q
ZNF581,19q
ZNF582,19q
ZNF582-AS1,19q
ZNF583,19q
ZNF584,19q
ZNF585A,19q
ZNF585B,19q
ZNF586,19q
ZNF587,19q
ZNF587B,19q
ZNF599,19q
ZNF600,19q
ZNF606,19q
ZNF607,19q
ZNF610,19q
ZNF611,19q
ZNF613,19q
ZNF614,19q
ZNF615,19q
ZNF616,19q
ZNF625,19p
ZNF625-ZNF20,19p
ZNF626,19p
ZNF627,19p
ZNF628,19q
ZNF649,19q
ZNF649-AS1,19q
ZNF653,19p
ZNF66,19p
ZNF665,19q
ZNF667,19q
ZNF667-AS1,19q
ZNF671,19q
ZNF675,19p
ZNF676,19p
ZNF677,19q
ZNF681,19p
ZNF682,19p
ZNF69,19p
ZNF699,19p
ZNF700,19p
ZNF701,19q
ZNF702P,19q
ZNF708,19p
ZNF709,19p
ZNF71,19q
ZNF71-SMIM17,19q
ZNF714,19p
ZNF723,19p
ZNF724,19p
ZNF726,19p
ZNF728,19p
ZNF729,19p
ZNF730,19p
ZNF737,19p
ZNF738,19p
ZNF749,19q
ZNF761,19q
ZNF763,19p
ZNF765,19q
ZNF765-ZNF761,19q
ZNF766,19q
ZNF77,19p
ZNF772,19q
ZNF773,19q
ZNF776,19q
ZNF780A,19q
ZNF780B,19q
ZNF781,19q
ZNF784,19q
ZNF787,19q
ZNF788P,19p
ZNF790,19q
ZNF790-AS1,19q
ZNF791,19p
ZNF792,19q
ZNF793,19q
ZNF793-AS1,19q
ZNF799,19p
ZNF8,19q
ZNF8-ERVK3-1,19q
ZNF805,19q
ZNF807P,19q
ZNF808,19q
ZNF812P,19p
ZNF813,19q
ZNF814,19q
ZNF816,19q
ZNF816-ZNF321P,19q
ZNF818P,19q
ZNF823,19p
ZNF826P,19p
ZNF829,19q
ZNF83,19q
ZNF833P,19p
ZNF835,19q
ZNF836,19q
ZNF837,19q
ZNF841,19q
ZNF844,19p
ZNF845,19q
ZNF846,19p
ZNF85,19p
ZNF850,19q
ZNF865,19q
ZNF875,19q
ZNF878,19p
ZNF880,19q
ZNF888,19q
ZNF90,19p
ZNF91,19p
ZNF93,19p
ZNF98,19p
ZNF99,19p
ZNRF4,19p
ZSCAN1,19q
ZSCAN18,19q
ZSCAN22,19q
ZSCAN4,19q
ZSCAN5A,19q
ZSCAN5B,19q
ZSCAN5C,19q
ZSWIM4,19p
ZSWIM9,19q
AAK1,2p
AAMP,2q
ABCA12,2q
ABCB11,2q
ABCB6,2q
ABCG5,2p
ABCG8,2p
ABHD1,2p
ABI2,2q
ACADL,2q
ACKR3,2q
ACMSD,2q
ACOXL,2q
ACOXL-AS1,2q
ACP1,2p
ACSL3,2q
ACTG2,2p
ACTR1B,2q
ACTR2,2p
ACTR3,2q
ACTR3-AS1,2q
ACTR3BP2,2p
ACVR1,2q
ACVR1C,2q
ACVR2A,2q
ACYP2,2p
ADAM17,2p
ADAM23,2q
ADCY3,2p
ADD2,2p
ADGRF3,2p
ADI1,2p
ADRA2B,2q
AFF3,2q
AFTPH,2p
AGAP1,2q
AGAP1-IT1,2q
AGBL5,2p
AGBL5-AS1,2p
AGFG1,2q
AGPS,2q
AGXT,2q
AHCTF1P1,2q
AHSA2P,2p
ALK,2p
ALKAL2,2p
ALLC,2p
ALMS1,2p
ALMS1-IT1,2p
ALMS1P1,2p
ALPG,2q
ALPI,2q
ALPP,2q
ALS2,2q
AMER3,2q
AMMECR1L,2q
ANAPC1,2q
ANAPC1P1,2p
ANAPC1P2,2p
ANAPC1P4,2p
ANAPC1P6,2q
ANKAR,2q
ANKMY1,2q
ANKRD20A8P,2q
ANKRD23,2q
ANKRD30BL,2q
ANKRD36,2q
ANKRD36B,2q
ANKRD36BP2,2p
ANKRD36C,2q
ANKRD39,2q
ANKRD44,2q
ANKRD44-AS1,2q
ANKRD44-IT1,2q
ANKRD53,2p
ANKZF1,2q
ANO7,2q
ANTXR1,2p
ANXA4,2p
AOX1,2q
AOX3P-AOX2P,2q
AP1S3,2q
APLF,2p
APOB,2p
AQP12A,2q
AQP12B,2q
ARHGAP15,2q
ARHGAP25,2p
ARHGEF33,2p
ARHGEF4,2q
ARID5A,2q
ARL4C,2q
ARL5A,2q
ARL6IP6,2q
ARMC9,2q
ARPC2,2q
ASAP2,2p
ASB1,2q
ASB18,2q
ASB3,2p
ASDURF,2q
ASIC4,2q
ASNSD1,2q
ASPRV1,2p
ASTL,2q
ASXL2,2p
ATAD2B,2p
ATF2,2q
ATG16L1,2q
ATG4B,2q
ATG9A,2q
ATIC,2q
ATL2,2p
ATOH8,2p
ATP5MC3,2q
ATP6V1B1,2p
ATP6V1B1-AS1,2p
ATP6V1C2,2p
ATP6V1E2,2p
ATRAID,2p
AUP1,2p
B3GALT1,2q
B3GALT1-AS1,2q
B3GNT2,2p
B3GNT7,2q
BABAM2,2p
BABAM2-AS1,2p
BARD1,2q
BAZ2B,2q
BBS5,2q
BCL11A,2p
BCL2L11,2q
BCS1L,2q
BCYRN1,2p
BIN1,2q
BIRC6,2p
BIRC6-AS2,2p
BMP10,2p
BMPR2,2q
BMS1P14,2q
BOK,2q
BOK-AS1,2q
BOLA3,2p
BOLA3-AS1,2p
BOLL,2q
BUB1,2q
BZW1,2q
BZW1-AS1,2q
C1D,2p
C1GALT1C1L,2p
C1QL2,2q
C2CD6,2q
C2orf15,2q
C2orf16,2p
C2orf27A,2q
C2orf42,2p
C2orf49,2q
C2orf50,2p
C2orf66,2q
C2orf68,2p
C2orf69,2q
C2orf72,2q
C2orf73,2p
C2orf74,2p
C2orf76,2q
C2orf78,2p
C2orf80,2q
C2orf81,2p
C2orf83,2q
C2orf88,2q
C2orf91,2p
C2orf92,2q
CAB39,2q
CACNB4,2q
CAD,2p
CALCRL,2q
CALM2,2p
CAMKMT,2p
CAPG,2p
CAPN10,2q
CAPN10-DT,2q
CAPN13,2p
CAPN14,2p
CARF,2q
CASP10,2q
CASP8,2q
CATIP,2q
CATIP-AS1,2q
CATIP-AS2,2q
CAVIN2,2q
CBWD2,2q
CCDC115,2q
CCDC121,2p
CCDC138,2q
CCDC140,2q
CCDC141,2q
CCDC142,2p
CCDC148,2q
CCDC148-AS1,2q
CCDC150,2q
CCDC173,2q
CCDC74A,2q
CCDC74B,2q
CCDC85A,2p
CCDC88A,2p
CCDC93,2q
CCL20,2q
CCNT2,2q
CCNT2-AS1,2q
CCNYL1,2q
CCT4,2p
CCT7,2p
CD207,2p
CD28,2q
CD302,2q
CD8A,2p
CD8B,2p
CD8B2,2q
CDC42EP3,2p
CDCA7,2q
CDK15,2q
CDK5R2,2q
CDKL4,2p
CDRT15P3,2q
CEBPZ,2p
CEBPZOS,2p
CENPA,2p
CENPO,2p
CEP68,2p
CERKL,2q
CERS6,2q
CERS6-AS1,2q
CFAP221,2q
CFAP36,2p
CFAP65,2q
CFC1,2q
CFC1B,2q
CFLAR,2q
CFLAR-AS1,2q
CGREF1,2p
CHAC2,2p
CHCHD5,2q
CHMP3,2p
CHN1,2q
CHPF,2q
CHRNA1,2q
CHRND,2q
CHRNG,2q
CHROMR,2q
CHST10,2q
CIAO1,2q
CIB4,2p
CIR1,2q
CKAP2L,2q
CLASP1,2q
CLEC4F,2p
CLHC1,2p
CLIP4,2p
CLK1,2q
CMPK2,2p
CNGA3,2q
CNNM3,2q
CNNM3-DT,2q
CNNM4,2q
CNOT11,2q
CNOT9,2q
CNPPD1,2q
CNRIP1,2p
CNTNAP5,2q
COA5,2q
COBLL1,2q
COL3A1,2q
COL4A3,2q
COL4A4,2q
COL5A2,2q
COL6A3,2q
COLEC11,2p
COMMD1,2p
COPS7B,2q
COPS8,2q
COPS9,2q
COQ10B,2q
COX5B,2q
COX7A2L,2p
CPO,2q
CPS1,2q
CPS1-IT1,2q
CPSF3,2p
CRACDL,2q
CREB1,2q
CREG2,2q
CRIM1,2p
CRIM1-DT,2p
CRIPT,2p
CROCC2,2q
CRYBA2,2q
CRYGA,2q
CRYGB,2q
CRYGC,2q
CRYGD,2q
CSRNP3,2q
CT75,2q
CTDSP1,2q
CTLA4,2q
CTNNA2,2p
CTNNA2-AS1,2p
CUL3,2q
CWC22,2q
CXCR1,2q
CXCR2,2q
CXCR2P1,2q
CXCR4,2q
CYBRD1,2q
CYP1B1,2p
CYP1B1-AS1,2p
CYP20A1,2q
CYP26B1,2p
CYP27A1,2q
CYP27C1,2q
CYP4F30P,2q
CYP4F62P,2q
CYRIA,2p
CYS1,2p
CYTIP,2q
CYTOR,2p
D2HGDH,2q
DAPL1,2q
DARS-AS1,2q
DARS1,2q
DAW1,2q
DBI,2q
DBIL5P2,2p
DCAF17,2q
DCDC2C,2p
DCTN1,2p
DCTN1-AS1,2p
DDX1,2p
DDX11L2,2q
DDX18,2q
DES,2q
DGKD,2q
DGUOK,2p
DGUOK-AS1,2p
DHFRP3,2p
DHRS9,2q
DHX57,2p
DIRC1,2q
DIRC3,2q
DIRC3-AS1,2q
DIS3L2,2q
DLX1,2q
DLX2,2q
DLX2-DT,2q
DNAH6,2p
DNAH7,2q
DNAJB2,2q
DNAJB3,2q
DNAJC10,2q
DNAJC27,2p
DNAJC27-AS1,2p
DNAJC5G,2p
DNER,2q
DNMT3A,2p
DNPEP,2q
DOCK10,2q
DOK1,2p
DPP10,2q
DPP10-AS1,2q
DPP10-AS3,2q
DPP4,2q
DPP4-DT,2q
DPY30,2p
DPYSL5,2p
DQX1,2p
DRC1,2p
DTNB,2p
DTYMK,2q
DUSP11,2p
DUSP19,2q
DUSP2,2q
DUSP28,2q
DYNC1I2,2q
DYNC2LI1,2p
DYSF,2p
DYTN,2q
E2F6,2p
ECEL1,2q
ECEL1P2,2q
ECRG4,2q
EDAR,2q
EEF1B2,2q
EFEMP1,2p
EFHD1,2q
EFR3B,2p
EGR4,2p
EHBP1,2p
EHD3,2p
EIF2AK2,2p
EIF2AK3,2p
EIF2AK3-DT,2p
EIF2B4,2p
EIF4E2,2q
EIF5B,2q
EIPR1,2p
ELMOD3,2p
EMILIN1,2p
EML4,2p
EML4-AS1,2p
EML6,2p
EMX1,2p
EN1,2q
EPAS1,2p
EPB41L5,2q
EPC2,2q
EPCAM,2p
EPCAM-DT,2p
EPHA4,2q
ERBB4,2q
ERCC3,2q
ERFE,2q
ERICH2,2q
ERLEC1,2p
ERMN,2q
ESPNL,2q
ETAA1,2p
EVA1A,2p
EVX2,2q
EXOC6B,2p
FABP1,2p
FAHD2A,2q
FAHD2B,2q
FAHD2CP,2q
FAM110C,2p
FAM117B,2q
FAM124B,2q
FAM126B,2q
FAM133DP,2q
FAM136A,2p
FAM138B,2q
FAM161A,2p
FAM166C,2p
FAM168B,2q
FAM171B,2q
FAM178B,2q
FAM201B,2q
FAM228A,2p
FAM228B,2p
FAM237A,2q
FAM240C,2q
FAM95A,2q
FAM98A,2p
FANCL,2p
FAP,2q
FAR2P1,2q
FAR2P2,2q
FARP2,2q
FARSB,2q
FASTKD1,2q
FASTKD2,2q
FBLN7,2q
FBXO11,2p
FBXO36,2q
FBXO41,2p
FBXO48,2p
FER1L5,2q
FEV,2q
FEZ2,2p
FHL2,2q
FIGLA,2p
FIGN,2q
FKBP1B,2p
FKBP7,2q
FLACC1,2q
FLJ31356,2p
FLJ33534,2p
FLJ42351,2q
FLJ46875,2q
FMNL2,2q
FN1,2q
FNDC4,2p
FOSL2,2p
FOXD4L1,2q
FOXI3,2p
FOXN2,2p
FRZB,2q
FSHR,2p
FSIP2,2q
FSIP2-AS1,2q
FSIP2-AS2,2q
FTCDNL1,2q
FTH1P3,2p
FUNDC2P2,2p
FZD5,2q
FZD7,2q
G6PC2,2q
GACAT1,2q
GACAT3,2p
GAD1,2q
GAL3ST2,2q
GALM,2p
GALNT13,2q
GALNT14,2p
GALNT3,2q
GALNT5,2q
GAREM2,2p
GBX2,2q
GCA,2q
GCC2,2q
GCC2-AS1,2q
GCFC2,2p
GCG,2q
GCKR,2p
GCSHP3,2q
GCSIR,2q
GDF7,2p
GEMIN6,2p
GEN1,2p
GFPT1,2p
GGCX,2p
GGT8P,2p
GIGYF2,2q
GKN1,2p
GKN2,2p
GLB1L,2q
GLI2,2q
GLS,2q
GMCL1,2p
GMPPA,2q
GNLY,2p
GORASP2,2q
GPAT2,2q
GPATCH11,2p
GPBAR1,2q
GPC1,2q
GPD2,2q
GPN1,2p
GPR1,2q
GPR1-AS,2q
GPR148,2q
GPR155,2q
GPR17,2q
GPR35,2q
GPR39,2q
GPR45,2q
GPR55,2q
GPR75,2p
GPR75-ASB3,2p
GRASLND,2p
GRB14,2q
GREB1,2p
GRHL1,2p
GTDC1,2q
GTF2A1L,2p
GTF3C2,2p
GTF3C2-AS1,2p
GTF3C3,2q
GULP1,2q
GYPC,2q
HAAO,2p
HADHA,2p
HADHB,2p
HAGLR,2q
HAGLROS,2q
HAT1,2q
HDAC4,2q
HDAC4-AS1,2q
HDLBP,2q
HEATR5B,2p
HECW2,2q
HECW2-AS1,2q
HES6,2q
HIBCH,2q
HJURP,2q
HK2,2p
HNMT,2q
HNRNPA3,2q
HNRNPLL,2p
HOXD-AS2,2q
HOXD1,2q
HOXD10,2q
HOXD11,2q
HOXD12,2q
HOXD13,2q
HOXD3,2q
HOXD4,2q
HOXD8,2q
HOXD9,2q
HPCAL1,2p
HS1BP3,2p
HS1BP3-IT1,2p
HS6ST1,2q
HSPD1,2q
HSPE1,2q
HSPE1-MOB4,2q
HTR2B,2q
HTRA2,2p
IAH1,2p
ICA1L,2q
ICOS,2q
ID2,2p
ID2-AS1,2p
IDH1,2q
IDH1-AS1,2q
IFIH1,2q
IFT172,2p
IGFBP2,2q
IGFBP5,2q
IHH,2q
IKZF2,2q
IL18R1,2q
IL18RAP,2q
IL1A,2q
IL1B,2q
IL1F10,2q
IL1R1,2q
IL1R2,2q
IL1RL1,2q
IL1RL2,2q
IL1RN,2q
IL36A,2q
IL36B,2q
IL36G,2q
IL36RN,2q
IL37,2q
ILKAP,2q
IMMT,2p
IMP4,2q
ING5,2q
INHA,2q
INHBB,2q
INO80B,2p
INO80B-WBP1,2p
INO80D,2q
INPP1,2q
INPP4A,2q
INPP5D,2q
INSIG2,2q
IQCA1,2q
IRS1,2q
ITGA4,2q
ITGA6,2q
ITGA6-AS1,2q
ITGAV,2q
ITGB1BP1,2p
ITGB6,2q
ITM2C,2q
ITPRID2,2q
ITPRIPL1,2q
ITSN2,2p
IWS1,2q
KANSL1L,2q
KANSL1L-AS1,2q
KANSL3,2q
KCMF1,2p
KCNE4,2q
KCNF1,2p
KCNG3,2p
KCNH7,2q
KCNH7-AS1,2q
KCNIP3,2q
KCNJ13,2q
KCNJ3,2q
KCNK12,2p
KCNK3,2p
KCNS3,2p
KCTD18,2q
KDM3A,2p
KHK,2p
KIAA1841,2p
KIAA2012,2q
KIAA2012-AS1,2q
KIDINS220,2p
KIF1A,2q
KIF3C,2p
KIF5C,2q
KLF11,2p
KLF7,2q
KLHL23,2q
KLHL29,2p
KLHL30,2q
KLHL41,2q
KRCC1,2p
KRTCAP3,2p
KYNU,2q
LANCL1,2q
LANCL1-AS1,2q
LAPTM4A,2p
LBH,2p
LBX2,2p
LBX2-AS1,2p
LCLAT1,2p
LCT,2q
LCT-AS1,2q
LDAH,2p
LGALSL,2p
LHCGR,2p
LIMS1,2q
LIMS1-AS1,2q
LIMS2,2q
LIMS3,2q
LIMS3-LOC440895,2q
LIMS4,2q
LINC00211,2p
LINC00276,2p
LINC00298,2p
LINC00299,2p
LINC00309,2p
LINC00342,2q
LINC00471,2q
LINC00486,2p
LINC00487,2p
LINC00570,2p
LINC00607,2q
LINC00608,2q
LINC00954,2p
LINC01087,2q
LINC01090,2q
LINC01101,2q
LINC01102,2q
LINC01103,2q
LINC01104,2q
LINC01106,2q
LINC01107,2q
LINC01114,2q
LINC01115,2p
LINC01116,2q
LINC01117,2q
LINC01118,2p
LINC01119,2p
LINC01120,2q
LINC01121,2p
LINC01122,2p
LINC01123,2q
LINC01124,2q
LINC01126,2p
LINC01127,2q
LINC01143,2p
LINC01159,2q
LINC01173,2q
LINC01185,2p
LINC01191,2q
LINC01237,2q
LINC01238,2q
LINC01246,2p
LINC01247,2p
LINC01248,2p
LINC01249,2p
LINC01250,2p
LINC01280,2q
LINC01291,2p
LINC01304,2p
LINC01305,2q
LINC01317,2p
LINC01318,2p
LINC01320,2p
LINC01376,2p
LINC01381,2p
LINC01412,2q
LINC01460,2p
LINC01473,2q
LINC01494,2q
LINC01593,2q
LINC01594,2q
LINC01614,2q
LINC01628,2p
LINC01790,2q
LINC01792,2q
LINC01793,2p
LINC01795,2p
LINC01796,2q
LINC01797,2p
LINC01798,2p
LINC01799,2p
LINC01800,2p
LINC01802,2q
LINC01803,2q
LINC01804,2p
LINC01805,2p
LINC01806,2q
LINC01807,2q
LINC01809,2p
LINC01810,2p
LINC01812,2p
LINC01813,2p
LINC01814,2p
LINC01815,2p
LINC01816,2p
LINC01817,2q
LINC01819,2p
LINC01820,2p
LINC01821,2q
LINC01822,2p
LINC01826,2q
LINC01828,2p
LINC01829,2p
LINC01831,2q
LINC01832,2q
LINC01833,2p
LINC01849,2q
LINC01851,2p
LINC01854,2q
LINC01856,2q
LINC01857,2q
LINC01865,2p
LINC01867,2p
LINC01873,2p
LINC01874,2p
LINC01875,2p
LINC01876,2q
LINC01877,2q
LINC01878,2q
LINC01880,2q
LINC01881,2q
LINC01883,2p
LINC01884,2p
LINC01886,2q
LINC01891,2q
LINC01907,2q
LINC01913,2p
LINC01914,2p
LINC01918,2q
LINC01920,2q
LINC01921,2q
LINC01923,2q
LINC01931,2q
LINC01934,2q
LINC01935,2q
LINC01936,2p
LINC01939,2p
LINC01940,2q
LINC01941,2q
LINC01945,2q
LINC01946,2p
LINC01953,2q
LINC01954,2p
LINC01960,2q
LINC01963,2q
LINC01964,2p
LINC02245,2p
LINC02478,2q
LINC02572,2q
LINC02579,2p
LINC02580,2p
LINC02583,2p
LINC02610,2q
LINC02611,2q
LINC02612,2q
LINC02613,2p
LIPT1,2q
LMAN2L,2q
LNPK,2q
LOC100129175,2q
LOC100129434,2p
LOC100130449,2q
LOC100130452,2q
LOC100130691,2q
LOC100132215,2p
LOC100133920,2q
LOC100144595,2q
LOC100286922,2q
LOC100287010,2q
LOC100287387,2q
LOC100288570,2q
LOC100499194,2q
LOC100505716,2p
LOC100505736,2p
LOC100505774,2p
LOC100506076,2q
LOC100506123,2q
LOC100506124,2q
LOC100506274,2p
LOC100506474,2p
LOC100507006,2p
LOC100507334,2q
LOC100507443,2q
LOC100509620,2q
LOC100996637,2p
LOC101926913,2q
LOC101927050,2p
LOC101927053,2q
LOC101927055,2q
LOC101927402,2p
LOC101927509,2q
LOC101927661,2p
LOC101927709,2q
LOC101927881,2q
LOC101927884,2p
LOC101927948,2p
LOC101927960,2q
LOC101927967,2p
LOC101928222,2p
LOC101928273,2q
LOC101928371,2p
LOC101928386,2q
LOC101928881,2q
LOC101929319,2q
LOC101929452,2p
LOC101929512,2q
LOC101929532,2q
LOC101929551,2p
LOC101929633,2q
LOC101929882,2p
LOC102723730,2p
LOC102724058,2q
LOC102724579,2p
LOC102724849,2q
LOC105373352,2p
LOC105373394,2p
LOC105373496,2q
LOC105373553,2q
LOC105373562,2q
LOC105373609,2q
LOC105373656,2q
LOC105373759,2q
LOC105373782,2q
LOC105373805,2q
LOC105373876,2q
LOC105374378,2p
LOC105374389,2p
LOC105374820,2p
LOC107985770,2p
LOC107985820,2q
LOC107985856,2p
LOC107985911,2p
LOC107985939,2q
LOC107985946,2q
LOC150935,2q
LOC284950,2p
LOC285000,2q
LOC285097,2q
LOC285191,2q
LOC339803,2p
LOC375196,2p
LOC400940,2p
LOC401021,2q
LOC440895,2q
LOC440910,2q
LOC442028,2q
LOC643072,2q
LOC646736,2q
LOC729254,2q
LOC729968,2q
LOC730100,2p
LOC93463,2q
LONRF2,2q
LOXL3,2p
LPIN1,2p
LRATD1,2p
LRP1B,2q
LRP2,2q
LRPPRC,2p
LRRFIP1,2q
LRRTM1,2p
LRRTM4,2p
LRRTM4-AS1,2p
LSP1P4,2p
LTBP1,2p
LY75,2q
LY75-CD302,2q
LYG1,2q
LYG2,2q
LYPD1,2q
LYPD6,2q
LYPD6B,2q
M1AP,2p
MAB21L4,2q
MAIP1,2q
MAL,2q
MALL,2q
MAP2,2q
MAP3K19,2q
MAP3K2,2q
MAP3K20,2q
MAP3K20-AS1,2q
MAP4K3,2p
MAP4K3-DT,2p
MAP4K4,2q
MAPRE3,2p
MAPRE3-AS1,2p
MARCHF4,2q
MARCHF7,2q
MARCO,2q
MARS2,2q
MAT2A,2p
MATN3,2p
MBD5,2q
MBOAT2,2p
MCEE,2p
MCFD2,2p
MCM6,2q
MDH1,2p
MDH1B,2q
MED15P9,2q
MEIS1,2p
MEIS1-AS2,2p
MEIS1-AS3,2p
MEMO1,2p
MERTK,2q
METAP1D,2q
METTL21A,2q
METTL5,2q
METTL8,2q
MFF,2q
MFF-DT,2q
MFSD2B,2p
MFSD6,2q
MFSD9,2q
MGAT4A,2q
MGAT5,2q
MGC16025,2q
MIR10B,2q
MIR1245A,2q
MIR1245B,2q
MIR1246,2q
MIR1258,2q
MIR128-1,2q
MIR1285-2,2p
MIR1301,2p
MIR1302-3,2q
MIR1302-4,2q
MIR1471,2q
MIR149,2q
MIR153-1,2q
MIR216A,2p
MIR216B,2p
MIR217,2p
MIR217HG,2p
MIR2355,2q
MIR2467,2q
MIR26B,2q
MIR3125,2p
MIR3126,2p
MIR3127,2q
MIR3128,2q
MIR3129,2q
MIR3130-1,2q
MIR3130-2,2q
MIR3131,2q
MIR3132,2q
MIR3133,2q
MIR3606,2q
MIR3679,2q
MIR3681,2p
MIR3681HG,2p
MIR3682,2p
MIR375,2q
MIR4261,2p
MIR4262,2p
MIR4263,2p
MIR4264,2p
MIR4265,2q
MIR4266,2q
MIR4267,2q
MIR4268,2q
MIR4269,2q
MIR4429,2p
MIR4430,2p
MIR4431,2p
MIR4432,2p
MIR4432HG,2p
MIR4433A,2p
MIR4433B,2p
MIR4434,2p
MIR4435-1,2q
MIR4435-2,2q
MIR4435-2HG,2q
MIR4436A,2p
MIR4436B1,2q
MIR4436B2,2q
MIR4437,2q
MIR4438,2q
MIR4439,2q
MIR4440,2q
MIR4441,2q
MIR4444-1,3p
MIR4444-2,3p
MIR4757,2p
MIR4765,2p
MIR4771-1,2q
MIR4771-2,2q
MIR4772,2q
MIR4773-1,2q
MIR4773-2,2q
MIR4774,2q
MIR4775,2q
MIR4776-1,2q
MIR4776-2,2q
MIR4777,2q
MIR4778,2p
MIR4779,2p
MIR4780,2p
MIR4782,2q
MIR4783,2q
MIR4784,2q
MIR4785,2q
MIR4786,2q
MIR5000,2p
MIR5001,2q
MIR5192,2p
MIR548AD,2p
MIR548AE1,2q
MIR548AU,9q
MIR548BA,2p
MIR548F2,2q
MIR548S,2p
MIR558,2p
MIR559,2p
MIR5590,2q
MIR561,2q
MIR562,2q
MIR5696,2q
MIR5702,2q
MIR5703,2q
MIR6071,2p
MIR6512,2q
